"Name","Mmax","Color","Spec. Type","R.A.","Dec.","R.A.'","Dec.'","v☉","vgal","Pbound","dL (kpc)"
"SDSSJ065827.16+291313.17","-10.3913","0.8881,0.45463","F, G, K, M","06:58:27.16,06:58:27.1641","+29:13:13.17,+29:13:13.1284","0.455","-7.492","352.23","333.251","0.996983","5.25433"
"SDSSJ005956.06+313439.29","-14.85","0.0153,-0.24889","A, B","00:59:56.06,00:59:56.0624","+31:34:39.29,+31:34:39.3094","0.475","-0.991","136,138.3","332.123","0.900487","37.6559"
"RdM19","-5.64664","1.9527,1.55704","M1, M0","23:25:41.3,23:25:41.6962","+00:04:19.6,+00:04:18.2037","453.3","-118.8","-80.8,-99.608","331.172","0.999483","0.194687"
"SDSSJ145021.46+105714.46","-11.1842","0.7145,0.32828","F, G, K, M, G0","14:50:21.46,14:50:21.461","+10:57:14.46,+10:57:14.3363","3.276","-4.491","-17.137","330.825","0.921486","9.40382"
"CD-41 15048","-15.0988","0.7990","","22:50:14.02015,22:50:14.0726","-40:57:42.8424,-40:57:44.6851","38.56","-119.45","228.9,229.79","330.049","0.998983","0.835613"
"GaiaDR2 531777","-18.0407","2.0763","","08:41:58.7773","-54:47:47.8646","-3.186","4.565","114.04","329.029","0.924386","12.0429"
"NHCd","-6.48219","1.8129,1.36104","K, M","21:06:27.4073,21:06:27.3784","+01:12:33.354,+01:12:30.9196","-45.24","-225.15","-123.4","324.653","0.999183","0.455471"
"LMST_HVS18","-14.4211","0.9790,0.51559","F5, F0","17:36:50.63,17:36:50.6221","+06:08:14.4,+06:08:14.3225","-30.9","-15.5","-416,-440.4","324.645","0.999683","3.05055"
"LMST_HVS25","-11.5514","0.6438,0.25895","A0, F0","08:06:08.76,08:06:08.7729","+06:33:49.8,+06:33:49.5701","14.2","-20.4","423,447.89,453.66","324.507","0.999383","2.30348"
"GaiaDR2 459651","-16.9196","1.6495","","17:54:18.5664,17:54:18.5652","+29:07:24.528,+29:07:24.5133","-1.086","-10.512","-112.79","323.792","0.990984","8.13435"
"LMST_HVS24","-10.2198","0.7077,0.32107","F0, A7","21:20:28.3,21:20:28.331","-01:33:23.4,-01:33:23.7959","51.2","-47","-311,-301.29","322.888","0.998483","1.23035"
